"SKName","tDate","Institute","交易類別","金額"
"臺股現貨","2015-01-14","外資及陸資","買","230.71"
"臺股現貨","2015-01-14","投信","買","11.82"
"臺股現貨","2015-01-14","自營商(自行買賣)","買","11.82"
"臺股現貨","2015-01-14","自營商(避險)","買","52.62"
"臺股現貨","2015-01-15","外資及陸資","買","209.83"
"臺股現貨","2015-01-15","投信","買","12.81"
"臺股現貨","2015-01-15","自營商(自行買賣)","買","10.56"
"臺股現貨","2015-01-15","自營商(避險)","買","53.84"
"臺股現貨","2015-01-16","外資及陸資","買","311.79"
"臺股現貨","2015-01-16","投信","買","17.96"
"臺股現貨","2015-01-16","自營商(自行買賣)","買","11.96"
"臺股現貨","2015-01-16","自營商(避險)","買","55.07"
"臺股現貨","2015-01-19","外資及陸資","買","245.81"
"臺股現貨","2015-01-19","投信","買","11.42"
"臺股現貨","2015-01-19","自營商(自行買賣)","買","7.79"
"臺股現貨","2015-01-19","自營商(避險)","買","62.57"
"臺股現貨","2015-01-20","外資及陸資","買","222.95"
"臺股現貨","2015-01-20","投信","買","13.4"
"臺股現貨","2015-01-20","自營商(自行買賣)","買","15.22"
"臺股現貨","2015-01-20","自營商(避險)","買","69.2"
"臺股現貨","2015-01-21","外資及陸資","買","365.99"
"臺股現貨","2015-01-21","投信","買","13.33"
"臺股現貨","2015-01-21","自營商(自行買賣)","買","18.24"
"臺股現貨","2015-01-21","自營商(避險)","買","59.6"
"臺股現貨","2015-01-22","外資及陸資","買","306.31"
"臺股現貨","2015-01-22","投信","買","20.41"
"臺股現貨","2015-01-22","自營商(自行買賣)","買","16.05"
"臺股現貨","2015-01-22","自營商(避險)","買","59.03"
"臺股現貨","2015-01-23","外資及陸資","買","398.54"
"臺股現貨","2015-01-23","投信","買","19.1"
"臺股現貨","2015-01-23","自營商(自行買賣)","買","19.33"
"臺股現貨","2015-01-23","自營商(避險)","買","70.37"
"臺股現貨","2015-01-26","外資及陸資","買","279.73"
"臺股現貨","2015-01-26","投信","買","15.27"
"臺股現貨","2015-01-26","自營商(自行買賣)","買","13.06"
"臺股現貨","2015-01-26","自營商(避險)","買","49.7"
"臺股現貨","2015-01-14","外資及陸資","賣","296.8"
"臺股現貨","2015-01-14","投信","賣","10.41"
"臺股現貨","2015-01-14","自營商(自行買賣)","賣","9.52"
"臺股現貨","2015-01-14","自營商(避險)","賣","60.84"
"臺股現貨","2015-01-15","外資及陸資","賣","245.68"
"臺股現貨","2015-01-15","投信","賣","12.66"
"臺股現貨","2015-01-15","自營商(自行買賣)","賣","10.91"
"臺股現貨","2015-01-15","自營商(避險)","賣","53.11"
"臺股現貨","2015-01-16","外資及陸資","賣","393.78"
"臺股現貨","2015-01-16","投信","賣","19.96"
"臺股現貨","2015-01-16","自營商(自行買賣)","賣","19.87"
"臺股現貨","2015-01-16","自營商(避險)","賣","72.68"
"臺股現貨","2015-01-19","外資及陸資","賣","156.64"
"臺股現貨","2015-01-19","投信","賣","12.18"
"臺股現貨","2015-01-19","自營商(自行買賣)","賣","17.19"
"臺股現貨","2015-01-19","自營商(避險)","賣","76.92"
"臺股現貨","2015-01-20","外資及陸資","賣","137.28"
"臺股現貨","2015-01-20","投信","賣","13.35"
"臺股現貨","2015-01-20","自營商(自行買賣)","賣","13.78"
"臺股現貨","2015-01-20","自營商(避險)","賣","62.51"
"臺股現貨","2015-01-21","外資及陸資","賣","193.76"
"臺股現貨","2015-01-21","投信","賣","13.9"
"臺股現貨","2015-01-21","自營商(自行買賣)","賣","15.94"
"臺股現貨","2015-01-21","自營商(避險)","賣","63.5"
"臺股現貨","2015-01-22","外資及陸資","賣","186.96"
"臺股現貨","2015-01-22","投信","賣","14.17"
